,Function,Original Comment,Predicted comment
1138,private void init velocity throws exception velocity set property velocity engine resource loader file classpath velocity set property classpath velocity engine resource loader class classpath resource loader class get name velocity set property file velocity engine resource loader class file resource loader class get name velocity set property velocity engine file resource loader path context information get execution field context information template directory key velocity set property file resource loader cache false velocity set property file resource loader modification check interval 0 velocity init ,initializes the velocity engine , p automatically managed component initialization
1139,public byte get byte int address return 0 ,nothing to read , get the byte
1140,public boolean is go to previous navigation target return get boolean value is go to previous target value ,returns the default value for go to previous navigation enablement , returns the code annotation code value for the specified input
1141,protected void create buttons for button bar composite parent create button parent idialog constants ok id idialog constants ok label true set enabled false create button parent idialog constants cancel id idialog constants cancel label false ,create contents of the button bar , creates the controls for the button
1142,private void evaluate op string operand predicate p predicate by operand get operand if stack size p num operands throw new illegal argument exception not enough operands p num operands string strings new string p num operands for int i strings length 1 i 0 i strings i stack pop stack push boolean to string p evaluate strings ,evaluates an operand based on the contents of the stack , description that the given pattern will be made by javascript to
1143,public boolean supports mechanism string mech return authentications contains mech ,test if the server supports a given mechanism , format a given code to the code body code
1144,public void set remote id for efsp string remote idfor efsp filing set remote id for efsp remote idfor efsp ,this is as set remote id but is used exclusively with an efsp , set the users id
1145,private string hash final string p string buffer result new string buffer try message digest message digest get instance 256 reset byte message digest digest p get bytes string tmp for int i 0 i message digest length i tmp integer to hex string 0x ff message digest i if tmp length 1 result append 0 result append tmp catch exception ex log e meemi credentials hash an exception has been during the hash evaluation for the password p return result to string ,this method generate the hash of the input argument , parse a string value
1146,public void set id competencia int value this id competencia value ,sets the value of the id competencia property , sets the value of the id property
1147,protected polygon get polygon throws noninvertible transform exception array list closed points new array list get coordinates if closed points get 0 equals closed points get closed points size 1 closed points add new coordinate coordinate closed points get 0 return new geometry factory create polygon new geometry factory create linear ring to array closed points null ,callers should check whether the polygon returned is valid , returns the midi quota number of objects in the user
1148,public void set status string status icon icon if status null equals status label set text else label set text status label set icon icon ,set the new em main em status , sets the status line for the status line
1149,public base code cr get buffer append nl return indent ,appends carriage return character s and , returns the first object of the character set
1150,public string get query string return get http servlet request get query string ,the default behavior of this method is to return get query string , returns the current version
1151,public boolean equals object obj if obj instanceof afpfont color afpfont color c afpfont color obj if c get red red c get green green c get blue blue return true else return false else return super equals obj ,checks whether this object is equal to the parameter passed , compares this object to another object
1152,public restfulorder resolve entity entity manager em return entity ,returns the resolved restfulorder entity , method that can be called from another applet or from javascript that
1153,protected boolean less double value1 double value2 return value1 value2 ,returns true if the first value is less than the second value false , returns true if the two values are equal or false otherwise
1154,protected void delete data int index if index 0 index num data 1 throw new index out of bounds exception if index num data 1 data ids index data ids num data 1 data index data num data 1 data num data 1 null num data ,delete data at the given index , delete the given job at the given index in the given index
1155,public void set packager final web link a packager this packager a packager ,sets the code packager code value , sets the code binding code value code
1156,private void get project xml files file geronimo root get module list search dirs geronimo root search dirs new file geronimo root get absolute file configs for int x 0 x project xmls size x system out println file project xmls get x get absolute path ,after this routine returns we have a list of all project , this method initializes j file file
1157,public void loaded activity list activity list activities todo move date format into config simple date format date format new simple date format yyyy mm dd string title activities get date range get from activities get date range get to date format format activities get date range get from date format format activities get date range get from date format format activities get date range get to main tabbed pane set title at 0 title ,set activity tab title when activities reload , get a list of given item
1158,public void set config file url config file this config file config file ,set the url of the xml descriptor for this context , set the file name
1159,public object convert from string string string value converter set converter set type generic types return convert from string string value ,convert the given string into the object which this converter , convert the given string into the tree
1160,public cell view renderer get renderer string type graph participant interface super get cell get type graph participant renderer interface graph participant renderer interface renderers get type if null create renderer participant graph participant interface super get cell get user object renderers put type return ,returns a renderer for the class , gets a graph metadata
1161,public void refresh list a list clear a list add all ctrl get ,extract the , refresh the list from the database
1162,public void set local host string local host connection set local host local host ,explicitly set the local host information , set the host value
1163,public group type create group type return new group type ,create an instance of , create an instance of
1164,public rsp list cast message vector dests message msg int mode long timeout group request req null vector real dests dests null dests members if local delivery is off then we should not wait for the message from the local member therefore remove it from the membership if channel get opt channel local equals new boolean false if local addr null local addr channel get local address if local addr null real dests remove element local addr req new group request msg corr real dests mode timeout 0 req execute return req get results ,cast a message to all members and wait for code mode code responses , a message was received by a database one
1165,private anchored get anchor if anchor null return anchor music symbol previous notehead previous instance of notehead class music symbol previous rest previous instance of rest class if previous notehead null previous rest null debug maybe this should be an error anchor find default anchor else if previous rest null there is only a notehead anchor previous notehead else if previous notehead null there is only a rest anchor previous rest else use the most recent notehead or rest if previous notehead get index previous rest get index anchor previous notehead else anchor previous rest return anchor ,return the anchor as the previous notehead or rest , returns the anchor as a time
1166,public map layer get sub layer int n return map layer sub layers get n ,returns the sub layer at the specified index , gets the top of a person from a layer
1167,public adapter create simple item handle facade adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
1168,public int get operation progress if copying null synchronized copying progress return copying progress int value else if deleting null synchronized deleting progress return deleting progress int value should never happen return 1 ,gets number of copied files or number of deleted files , returns the value of the current time on
1169,public void set stream input stream stream this stream stream set available stream null ,sets the input stream to use , set the input stream
1170,public void inc up pos days this upposday ,increment the up positive days , increment the positive days
1171,public int get user num return user num ,returns the user number , gets the player
1172,public void increment num started threads synchronized this num started threads ,increments the number of concurrent users that have started the , test of time of the player
1173,public boolean is browser return browser ,is this consumer a queue browser , checks if is in progress
1174,public cool scanner use delimiter pattern pattern delim pattern pattern return this ,sets this scanners delimiting pattern to the specified pattern , sets the pattern pattern value for this pattern constants
1175,public void rename attribute value attribute att string val string name int v att index of value val if v 1 throw new illegal argument exception val not found rename attribute value att index v name ,renames the value of a nominal or string attribute value , set the value of a given attribute as a given value
1176,private void update action string action id assert is not null action id if f actions null iaction action iaction f actions get action id if action instanceof iupdate iupdate action update ,updates the specified action by calling code , updates the state of the given message
1177,public void show final int left final int width final int bottom set popup position and show new position callback override public void set position int offset width int offset height set popup position left width offset width 2 bottom ,shows this dialog box , shows the dialog
1178,public boolean process intention intention ant ant if ant get total distance best eta best eta ant get total distance eta ticksleft intention evaporation ticks if first intent event broker get event broker notify all new package received intent event this return true return false ,choose best from this vs best eta , checks if the given element is a from a single runtime
1179,public void set options string options throws exception set binary attributes nominal utils get flag n options set transform all values utils get flag a options string convert list utils get option r options if convert list length 0 set attribute indices convert list else set attribute indices first last set invert selection utils get flag v options set dual mode utils get flag d options set separator utils get option s options set set only prefix utils get option p options if get input format null set input format get input format ,parses a given list of options , set the username for the efsp
1180,public void delete volunteer object super delete object ,remove the instance , delete an instance of
1181,public void set model agent app model model this model model agent view update view model ,gives the frame access to agent and environment data , set the view table
1182,public void set restricted user agents string restricted user agents if restricted user agents null restricted user agents length 0 this restricted user agents null else this restricted user agents pattern compile restricted user agents ,set restricted user agent list which will downgrade the connector , set the users instance with which the user has been created
1183,public double get distance target reached return distance target reached ,gets the distance in which a target is reached in km , returns the current distance in the queue
1184,private void close connection connection conn try conn close conn null catch throwable t trace here conn null end of close conn ,method is used for closing created connection , close the server
1185,public void init final authenticated user info user info current user info user info init native methods this ,defines behavior after successful sign in , init the user
1186,public int evaluate int level throws mxquery exception if this term is indexed we retrieve the value in a different way if indexed level dependency startend return result false if this result result unknown if is lower dependency this current eval level level current eval level level this result result true for int i 0 i size i int tmp result get i evaluate level if tmp result result false this result result false return result else if tmp result result unknown this result result unknown return result ,evaluates the conjunction term up to a certain dependency level , a number of two values
1187,public int get so linger return so linger ,gets the so , returns the value of the plot
1188,public result list get results result list results result list get results if results null results new result list return results ,returns the results , returns the results as a rsp list
1189,public string get formatted length long time get length string length if time 1 int minutes int math floor time 60 int hours int math floor minutes 60 minutes minutes hours 60 int seconds int time minutes 60 hours 3600 hours if hours 0 length length file util right pad string hours 0 2 length length file util right pad string minutes 0 2 file util right pad string seconds 0 2 else length time return length ,returns item lenght such as hh mm ss , returns the text maximum value of a text
1190,public script get script uri uri return script map get uri ,returns the script represented by the given uri , get the url of the url
1191,private token read atomic token skip to next delimiter int start pos while pos header length break on the first non atom character char ch header char at pos if delimiters index of header char at pos 1 ch 32 ch 127 break return new token token atom header substring start pos ,read an atom token from the parsed header , return the next token from the current position
1192,private void set ids list list object row list if row list is empty ids new serializable row list size int count 0 for object objects row list ids count serializable objects ,method to set the id column value list , set the selected item
1193,public void set warnings imapair seat map rs warnings value this warnings value ,sets the value of the property , sets the value of the local property
1194,public jbutton get pause resume button if pause resume button null pause resume button new jbutton pause resume button set text pause pause resume button set mnemonic p pause resume button set displayed mnemonic index 0 pause resume button set horizontal text position swing constants center pause resume button set vertical text position swing constants bottom pause resume button set icon null pause resume button add action listener event handler return pause resume button ,return the pause resume button , this method initializes task button
1195,private jmenu item new extract menu item extract menu item new jmenu item resource get string extract graphic extract menu item add action listener new java awt event action listener public void action performed java awt event action event e best hit list genes get selected best hits graphic interaction controller instance extract graphic genes return extract menu item ,this method initializes extract menu item , method that creates the item list into the item item
1196,private boolean is snap enabled return get boolean viewer property snap to geometry property snap enabled ,return true if viewer has snap to grid mode , returns whether the state is enabled
1197,public int get d this will simplify the ratio if it is not already simplify return d ,return the denominator , returns the maximum number of lines in the current folder
1198,public jdxspectrum copy jdxspectrum new spectrum new jdxspectrum copy to new spectrum new spectrum set peak list peak list pi units x null return new spectrum ,specifically for conversion , creates a new copy of the given parameters
1199,protected long do get content size throws exception return file length ,returns the size of the file content in bytes , returns the content of the content
1200,public void set pair mean dispersal distance double pair mean dispersal distance this pair mean dispersal distance pair mean dispersal distance ,setter for property pair mean dispersal distance , sets the pair pair pair
1201,public void set partition by subject empty type value this partition by subject value ,sets the value of the partition by subject property , sets the value of the environment type property
1202,public integer get digit return digit ,gets the value of the digit property , gets the value of the server port property
1203,private boolean data available return decoded count 0 ,test for the existance of decoded characters in our buffer , description of the code graph code interface
1204,public void test same hash code object object new object weak object object weak1 new weak object object object weak object object weak2 new weak object object object assert equals weak1 hash code weak2 hash code ,test same hash code of two , test wrapper for two primitive
1205,public void set event try if queue summary null return stat summary get instance change stat on delete wi this false string old queue this queue this is on new wi event true change wiinfo event get new recipient event get xml is queue changed this queue equals old queue stat summary get instance change stat on new wi this is queue changed true catch exception e if log is error enabled log error can t set wi wi id get wid e ,sets reassigned wi , sets the color of a element
1206,public string workflow tool com data bean value return workflow str value get portal id value get user id value get workflow id value get workflow text ,submits a concrete workflow , a workflow real osszes peldanyat adja vissza
1207,public void read buffer throws messaging exception while true int ch next byte potential end of line check the next character and if it is an end of line we need to do literal processing if ch r int next next byte if next n had a line break which might be part of a literal marker check for the signature and if we found it continue with the next line in any case we re done with processing here check literal return write this to the buffer out write ch ,read a buffer of data , read a line from the buffer
1208,protected axis space calculate axis space canvas g2 rectangle2 d plot area axis space space new axis space space calculate range axis space g2 plot area space rectangle2 d rev plot area space plot area null space calculate domain axis space g2 rev plot area space return space ,calculates the space required for all the axes in the plot , calculates the range of the given area
1209,private jmenu item new hide others menu item hide others menu item new jmenu item resource get string hide others hide others menu item add action listener new java awt event action listener public void action performed java awt event action event e best hit list genes list get selected best hits graphic interaction controller instance hide others synteny paths genes list return hide others menu item ,this method initializes hide others menu item , method that creates the strings about builds to write into the hdd
1210,protected void send line string data throws messaging exception if socket null socket is connected throw new messaging exception no connection try output stream write data get bytes iso8859 1 output stream write cr output stream write lf output stream flush catch ioexception e throw new messaging exception e to string ,sends a message down the socket and terminates with the appropriate crlf , send a message to the command
1211,public xmlgregorian calendar get business hours from return business hours from ,gets the value of the business hours from property , gets the value of the inverse classloading property
1212,static public program frame string title final d init program frame return simple gui frame title new d public void call program frame add the frame to the stack it doesn t actually matter if it gets off push context f program frame if null init program frame init program frame call program frame ,create the main frame of the program , this methods will use the initial state to a specific string
1213,public void set recipeimages pk recipeimages pk recipeimages pk this recipeimages pk recipeimages pk ,sets the recipeimages pk of this recipeimages to the specified value , sets the instance of the player pk
1214,public boolean not populated return this populated ,return whether or not has not for the receiver , checks if the connection can be currently as
1215,public void set disposition string disposition throws messaging exception if disposition null remove header content disposition else the disposition has parameters which we ll attempt to preserve in any existing header string current header get single header content disposition if current header null content disposition content new content disposition current header content set disposition disposition set header content disposition content to string else set using the raw string set header content disposition disposition ,set a new value for the content disposition field , sets the status line of this message
1216,public void draw trace and save it graphics2 d g2d int x int y float dx float dy agent agent view properties cell view properties agent color color agent get property get color draw trace with repaint g2d x y dx dy trace t new trace dx dy color synchronized x y add t agent get property get add new trace model x y agent t ,it doesnt change the color of the it must be initialized before , draws the coordinates
1217,public object get element at int index if index 0 index control get item count composite item i control get item index if i null return i get data return null ,returns the element with the given index from this list viewer , returns the first element in the given list
1218,public int get child count object parent to be try return tree node parent get child count catch class cast exception ex not a tree node return 0 ,returns the number of children in the specified parent node , return the node at the specified position in the
1219,private dterm normalize to xdmiterator expr dterm result new dterm expr remove boolean iterator expr logical iterator l expr if l expr get logical expr null dterm left normalize to l expr get left child dterm right normalize to l expr get right child if l expr get operator type logical iterator and result left combine lists right else left add all right result left else cterm term new cterm term add literal create term expr result add cterm term return result ,normalizes an iterator tree to terms , returns a copy of this code display scheme code with the given
1220,public void decode content io buffer in http response message msg throws exception add content in msg msg get content length ,decodes content from non chunked transcoding , decodes content from chunked transcoding
1221,public void set short text string value this short text value ,sets the value of the short text property , sets the value of the message number property
1222,public adapter create link end destruction data adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
1223,public integer get localport return localport ,returns the local port number to bind to when creating the pop3 socket , returns the local number of items that have been made since the
1224,public listener create listener return new listener ,create an instance of , create an instance of
1225,public adapter create interval constraint adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
1226,public iclient info get value return this client info ,returns the value corresponding to this entry , gets the value of the local object info property
1227,public void prev y end y y 0 while y end y next y y 1 compute row prev y y y next y next y 0 compute row copies the write matrix into the read matrix update ,runs the with the current and values , increases the position of the given column
1228,public void init throws lifecycle exception get server get connector server init ,initialise the server , initializes the client
1229,public int get service discovery return code return service return code ,return the bluetooth result code from service discovery , gets the service service
1230,protected void add body property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui opaque behavior body feature non nls 1 get string ui property descriptor description ui opaque behavior body feature ui opaque behavior type non nls 1 non nls 2 non nls 3 umlpackage literals opaque behavior body true true false item property descriptor generic value image null null ,this adds a property descriptor for the body feature , this adds a property descriptor for the body feature
1231,public integer get background processor delay return background processor delay ,gets the value of the background processor delay property , returns the stroke used to draw the items in a series
1232,public void hide text log commander display environment get panel commander active side hide text log ,hide text log for ftp conncetion , shows the dialog
1233,public void set second input pin new second if new second second notification chain msgs null if second null msgs internal eobject second e inverse remove this feature base umlpackage test identity action second null msgs if new second null msgs internal eobject new second e inverse add this feature base umlpackage test identity action second null msgs msgs basic set second new second msgs if msgs null msgs dispatch else if e notification required e notify new impl this notification set umlpackage test identity action second new second new second ,begin user doc , sets the next keys to be in
1234,public void clear results synchronized this if tab folder null ctab item tab items tab folder get items for int i 0 i tab items length i if tab items i messages tab close tab tab items i if messages table null messages table remove all ,closes all result tabs and all associated , clears the selected
1235,public void start list try conditional whitespace out write byte need white space false catch ioexception e ,mark the of a list value being written to , start the device of a stream
1236,protected void channel disconnect channel close ,lets clean up when we are done , handles the handler handler
1237,public string get base uri if base uri null return base uri else if parent null return parent get base uri return null ,get the base uri xml base for this scope node , return the url of the protocol for the specified uri
1238,private void generate constructor argument final int i final constructor argument values value holder holder final element builder builder builder add child constructor arg element if i 0 builder add attribute index attribute integer to string i string type holder get type if type null builder add attribute type attribute type object value holder get value process value value builder false false builder up ,generates declaration of constructor arg elemnet , generates the first parameter
1239,public void stop try remove the shutdown hook first so that server stop doesn t get invoked twice if use shutdown hook runtime get runtime remove shutdown hook shutdown hook catch throwable t this will fail on jdk 1 2 ignoring as tomcat can run fine without the shutdown hook shut down the server if server instanceof lifecycle try lifecycle server stop catch lifecycle exception e log error catalina stop e ,stop an existing server instance , stops the server
1240,public void set module id artifact type value this module id value ,sets the value of the module id property , sets the value of the id property
1241,public pdfoutline add string title pdfpage dest pdfoutline outline new pdfoutline title dest pdf add outline add to the pdf first add outline return outline ,this method creates an outline and attaches it to this one , add a new token to the list of some page
1242,public string get table type return this table type ,get type of table , gets the value of the type type property
1243,private building search building string id building for int i 0 i this l buildings size i if building this l buildings get i get id compare to id building 0 return building this l buildings get i return null ,method that returns a building from his id , method that returns a planet from his id
1244,public integer get append buffer size return append buffer size ,returns the maximum size of a message to buffer in memory when appending , the value of the x register in a register
1245,protected void disconnected ,this hook method is called when this provider stops managing documents for , this is automatically called after the object is modified to force
1246,public void remove layout component component comp synchronized comp get tree lock higconstraints c higconstraints components remove comp if c null return if col components c x null col components c x remove comp if row components c y null row components c y remove comp ,removes the specified component from the layout , removes all cleanup from the supplied server
1247,public boolean is empty boolean is empty true iterator it elements iterator while it has next xmlelement el xmlelement it next is empty is empty el is empty is empty is empty value trim length 0 return is empty ,it is empty if its value is not set and if , checks if the map contains a given key
1248,protected int year from datetime java util gregorian calendar date return date get calendar year ,returns year for the specified date , returns a string for the specified date
1249,public paint lookup series paint int series otherwise look up the paint list paint series paint get series paint series if series paint null this auto populate series paint drawing supplier supplier get drawing supplier if supplier null series paint supplier get next paint set series paint series series paint false if series paint null series paint this base paint return series paint ,returns the paint used to fill an item drawn by the renderer , returns the paint used to fill an item drawn by the renderer
1250,protected boolean is error status istatus status return status null status get severity istatus error ,returns whether the given status indicates an error , returns whether the status is not status
1251,protected void init framework configuration m default framework config obtain jpatterns config get jpatterns framework configuration file name m custom framework config obtain jpatterns config get jpatterns framework custom configuration file name merge framework configurations ,init the framework configuration , init the method
1252,public string toggle if run return stop loop return start loop ,toggles the stat service thread , returns the m start
1253,public void set message data string id date timestamp throws soapexception soapelement ebxml message data find or make child m ebxml header eb message data soapelement ebxml message id find or make child ebxml message data eb message id ebxml message id remove contents if id null ebxml message id add text node id soapelement ebxml message time find or make child ebxml message data eb timestamp ebxml message time remove contents if timestamp null ebxml message time add text node timestamp to string ,set the id and timestamp for my eb xml message , set the message for a message
1254,public void populate table list dconfig attribute attribute list set values in table next attribute count 1 this clear for int i 0 i attribute list size i dconfig attribute attribute dconfig attribute attribute list get i attribute make avalue copy data row data row new data row attribute data row list add data row data row list size old attribute list size fire table data changed ,populates table data list with data from db , get the list of all item in the given list
1255,private boolean valid parameters if get files dir null portal id null user id null file rename hash null if equals get files dir equals portal id equals user id return true return false ,checks whether the base parameter values are real or not , checks whether the given file exists
1256,public void set container container container container old container this container if old container null old container instanceof engine engine old container set service null this container container if this container null this container instanceof engine engine this container set service this if get state is available this container null try this container start catch lifecycle exception e ignore if get state is available old container null try old container stop catch lifecycle exception e ignore report this property change to interested listeners support fire property change container old container this container ,set the code container code that handles requests for all , set the container container
1257,public jbutton get btn refresh if btn refresh null btn refresh new jbutton refresh btn refresh set bounds new rectangle 31 211 61 return btn refresh ,this method initializes btn refresh , this method initializes no panel
1258,private void check open throws illegal state exception if is folder open throw new illegal state exception folder is not open ,ensure the folder is open , checks the open folder
1259,public boolean is valid if is valid start return false if is valid stop return false if is valid base return false return true ,verify all the ip address parameters , verify the ip address parameter
1260,protected big decimal log10 big decimal a return new big decimal math log a double value math log 10 0 ,returns the common logarithm base i 10 i of a code double code , returns the first argument
1261,public long get answered time return answered time ,gets the answered time milliseconds , returns the current time time milliseconds
1262,private string read line try return in read line catch ioexception e err println could not read input i o error return null ,read a new command from the input , reads the next line from the input stream
1263,public void test get applications boolean found false system out println get applications list volunteer application result ctrl get applications assert not null result assert true must find at least the test entity result size 0 for volunteer application app result if app get id application test id found true break assert true cannot find the test entity found ,test of get applications method of class org , test of get method of class org
1264,public int retrieve message size int sequence number throws messaging exception pop3 response msg response send command list sequence number convert this into the parsed response type we need pop3 list response list new pop3 list response msg response this returns the total message size return list get size ,retrieve the total message size from the mail , get the amount of a business process
1265,private advanced entry dialog data get advanced dialog data return new advanced entry dialog data get current entries model ,builds and returns the contents of the advanced dialog , this method initializes properties dialog
1266,public boolean is continuous xq return continuous xq ,check if continuous xquery expressions infinite xdm should be used , returns whether this user is a person
1267,private jpanel get button panel if button panel null button panel new jpanel button panel set layout new border layout button panel add get ok button east return button panel ,return the button panel , this method initializes buttons button
1268,public void check string name deployed application app deployed get name if app null check resources app else deploy apps name ,check status of a specific webapp for use with stuff like management webapps , check if the specified name is set in
1269,public void set highlight on boolean val highlight on val ,sets highlighting enabled or disabled , set whether or not the player is in the player
1270,public string get game id if game id null game id connection get jid return game id ,gets the game id , gets the user id
1271,public string get sender name return message sender name ,gets the sender name , get the name of the main message
1272,protected control create control composite parent combo new combo parent swt read only combo add selection listener new selection listener public void widget selected selection event e handle widget selected e public void widget default selected selection event e handle widget default selected e combo add focus listener new focus listener public void focus gained focus event e do nothing public void focus lost focus event e refresh false initialize width of combo combo set items init strings set width compute width combo refresh true return combo ,creates and returns the control for this contribution item under the , creates the controls for the given input stream
1273,private activity list new activity list day range range day now new day if null range range new day range now now activity list a new activity list impl a set date range range return a ,construct a new , creates a new menu with the given list
1274,public void test get value at bug20041122 2 throws exception connection manager add connection new base connection ,i get a in the download tree model adapter , test of event of the event
1275,protected int convert height in chars to pixels int chars test for failure to initialize for backward compatibility if f font metrics null return 0 return dialog convert height in chars to pixels f font metrics chars ,returns the number of pixels corresponding to the height of the given , convenience method to convert the java view into a y
1276,public element to xml document document element prop dom util create element document xml prop namespace iterator it get content iterator while it has next object content it next if content instanceof xml serializable prop append child xml serializable content to xml document else log debug unexpected content in prop container should be xml serializable return prop ,returns the xml representation of a property related set with the , returns the xml representation of this code lock code
1277,private jpanel get status panel if status panel null grid layout grid layout new grid layout grid layout set rows 1 status panel new jpanel status panel set layout grid layout status panel set border border factory create empty border 4 4 4 4 status panel add status label null return status panel ,this method initializes status panel , this method initializes panel panel
1278,public void set save on restart boolean save on restart if save on restart this save on restart return boolean old save on restart this save on restart this save on restart save on restart support fire property change save on restart boolean value of old save on restart boolean value of this save on restart ,set the option to save sessions to the store when the manager is , set the value for a given attribute
1279,public void display error message component parent string msg joption pane show message dialog parent msg error joption pane error message ,display error message , display the status of a given window
1280,public void set tickets amount hash map integer integer tickets amount this tickets amount tickets amount ,sets the amount of the players tickets , sets the number of seconds that have a socket in the socket
1281,public station get station by location geo point geo for station s m area stations values if compute distance geo s get geo point const is station radius return s return null ,get a station by location , gets the station at station
1282,public void set dispersal angle generator edu cornell lassp houle rng pack random element random generator this angle generator new uniform 0 random generator ,setter for property dispersal distance , setter for property survival survival generator
1283,private void initiate directory throws omms indexer exception try if m directory null string directory home directory index path m name if m is empty directory m file search dir new file directory if search dir exists search dir mkdirs m directory get directory search dir verify locked directory catch ioexception e e print stack trace throw new omms indexer exception error condition internal server error e get message ,initiates the directory , performs the contents of the buffer
1284,public string get requester email return string m data get requester ,returns the , get the value of the search for the source
1285,public void clear properties get all child control control control array group get children for int i 0 i control array length i dispose control array i dispose ,clear all control in property group , clear all statistic on the selected
1286,public hashtable get file hash string sid system out println before items items to string hashtable ret hash hashtable this items get sid system out println ret hash ret hash if this items contains key sid system out println items contains key sid this items get sid else system out println items not contains key sid this items get sid return ret hash ,returns the file hash belonging to the sid received in the parameters , returns the file hash for the given document
1287,public field node get child java lang string child name boolean no null java util enumeration enum children children elements while enum children has more elements field node cn field node enum children next element if cn get name equals child name return cn if no null field node cn new field node child name this children add cn return cn return null ,return child by name , return the child element of code specified code
1288,button listener adapter cancel button listener new button listener adapter public void on click button button event object e refresh ,cancel click listener , add the given listener to the session list
1289,public void init final servlet config config throws servlet exception super init config ,initializes the servlet , init the servlet
1290,public void toggle gravity if 10 remove 10 if constants gravity get y 0 constants gravity new net math vector2f 0 this get world set gravity constants gravity get x constants gravity get y else constants gravity new net math vector2f 0 this get world set gravity constants gravity get x constants gravity get y ,toggle the gravity at the cost of one , method that can be called from another applet or from javascript
1291,public string get nombre capacidad return nombre capacidad ,gets the value of the nombre capacidad property , gets the value of the nombre link property
1292,public void clear inner double map clear ,clears the complete map , clears the collection
1293,private string cname public string get cname return cname ,communication type name , return the name of the http message
1294,public v put k main key sk sub key v value if inner double map contains key main key inner double map put main key new hash map sk v inner double map get main key put sub key value return this get main key sub key ,puts a value into the map , create a new value for the specified key
1295,public void set released string released if released null return this set released false else if released equals on this set released true else this set released false ,set released to true if gives parameter on , sets the code interval code
1296,protected document fetch resource final resource resource final uriresource uri resource uriresource resource try return vfs get document vfsutils parse vfspath uri resource get uri catch final exception e e print stack trace return null ,this version of fetch resource only works correctly with uriresources , creates a new file
1297,override public void stop bundle context context throws exception jsannotation processor factory inspector apt environment inspector instance super stop context plugin null ,this method is called when the plug in is stopped , this method is called when the application is created to close the
